state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price,arrival_quantity
Maharashtra,Nashik,Nashik,Tomato,Local,01/01/2025,592,1851,1221,41
Maharashtra,Nashik,Nashik,Onion,Red,01/01/2025,895,2612,1753,330
Maharashtra,Nashik,Nashik,Potato,Local,01/01/2025,769,1693,1231,354
Maharashtra,Nashik,Nashik,Wheat,147 Average,01/01/2025,1454,2181,1817,242
Maharashtra,Nashik,Nashik,Rice,Common,01/01/2025,1791,3225,2508,234
Maharashtra,Nashik,Nashik,Maize,Yellow,01/01/2025,1375,1987,1681,195
Maharashtra,Nashik,Lasalgaon,Tomato,Local,01/01/2025,603,1886,1244,92
Maharashtra,Nashik,Lasalgaon,Onion,Red,01/01/2025,895,2611,1753,321
Maharashtra,Nashik,Lasalgaon,Potato,Local,01/01/2025,668,1470,1069,57
Maharashtra,Nashik,Lasalgaon,Wheat,147 Average,01/01/2025,1382,2073,1727,217
Maharashtra,Nashik,Lasalgaon,Rice,Common,01/01/2025,1795,3232,2513,175
Maharashtra,Nashik,Lasalgaon,Maize,Yellow,01/01/2025,1218,1760,1489,265
Maharashtra,Nashik,Pimpalgaon,Tomato,Local,01/01/2025,590,1845,1217,360
Maharashtra,Nashik,Pimpalgaon,Onion,Red,01/01/2025,838,2444,1641,160
Maharashtra,Nashik,Pimpalgaon,Potato,Local,01/01/2025,762,1678,1220,280
Maharashtra,Nashik,Pimpalgaon,Wheat,147 Average,01/01/2025,1514,2271,1892,111
Maharashtra,Nashik,Pimpalgaon,Rice,Common,01/01/2025,1769,3184,2476,36
Maharashtra,Nashik,Pimpalgaon,Maize,Yellow,01/01/2025,1135,1639,1387,214
Maharashtra,Pune,Pune,Tomato,Local,01/01/2025,609,1904,1256,306
Maharashtra,Pune,Pune,Onion,Red,01/01/2025,838,2446,1642,131
Maharashtra,Pune,Pune,Potato,Local,01/01/2025,638,1405,1021,261
Maharashtra,Pune,Pune,Wheat,147 Average,01/01/2025,1435,2153,1794,58
Maharashtra,Pune,Pune,Rice,Common,01/01/2025,1904,3427,2665,283
Maharashtra,Pune,Pune,Maize,Yellow,01/01/2025,1231,1778,1504,63
Maharashtra,Pune,Junnar,Tomato,Local,01/01/2025,506,1583,1044,228
Maharashtra,Pune,Junnar,Onion,Red,01/01/2025,919,2681,1800,269
Maharashtra,Pune,Junnar,Potato,Local,01/01/2025,764,1681,1222,211
Maharashtra,Pune,Junnar,Wheat,147 Average,01/01/2025,1343,2014,1678,34
Maharashtra,Pune,Junnar,Rice,Common,01/01/2025,1752,3154,2453,147
Maharashtra,Pune,Junnar,Maize,Yellow,01/01/2025,1135,1640,1387,169
Maharashtra,Pune,Khed,Tomato,Local,01/01/2025,599,1874,1236,86
Maharashtra,Pune,Khed,Onion,Red,01/01/2025,830,2423,1626,177
Maharashtra,Pune,Khed,Potato,Local,01/01/2025,705,1552,1128,311
Maharashtra,Pune,Khed,Wheat,147 Average,01/01/2025,1435,2153,1794,89
Maharashtra,Pune,Khed,Rice,Common,01/01/2025,1914,3446,2680,246
Maharashtra,Pune,Khed,Maize,Yellow,01/01/2025,1220,1762,1491,305
Maharashtra,Ahmednagar,Ahmednagar,Tomato,Local,01/01/2025,583,1823,1203,111
Maharashtra,Ahmednagar,Ahmednagar,Onion,Red,01/01/2025,773,2254,1513,208
Maharashtra,Ahmednagar,Ahmednagar,Potato,Local,01/01/2025,689,1516,1102,328
Maharashtra,Ahmednagar,Ahmednagar,Wheat,147 Average,01/01/2025,1414,2121,1767,134
Maharashtra,Ahmednagar,Ahmednagar,Rice,Common,01/01/2025,1706,3071,2388,84
Maharashtra,Ahmednagar,Ahmednagar,Maize,Yellow,01/01/2025,1252,1808,1530,101
Maharashtra,Ahmednagar,Sangamner,Tomato,Local,01/01/2025,536,1676,1106,175
Maharashtra,Ahmednagar,Sangamner,Onion,Red,01/01/2025,854,2491,1672,112
Maharashtra,Ahmednagar,Sangamner,Potato,Local,01/01/2025,696,1532,1114,147
Maharashtra,Ahmednagar,Sangamner,Wheat,147 Average,01/01/2025,1326,1989,1657,271
Maharashtra,Ahmednagar,Sangamner,Rice,Common,01/01/2025,1627,2929,2278,104
Maharashtra,Ahmednagar,Sangamner,Maize,Yellow,01/01/2025,1258,1817,1537,147
Maharashtra,Solapur,Solapur,Tomato,Local,01/01/2025,600,1876,1238,236
Maharashtra,Solapur,Solapur,Onion,Red,01/01/2025,760,2217,1488,219
Maharashtra,Solapur,Solapur,Potato,Local,01/01/2025,761,1676,1218,121
Maharashtra,Solapur,Solapur,Wheat,147 Average,01/01/2025,1309,1964,1636,89
Maharashtra,Solapur,Solapur,Rice,Common,01/01/2025,1734,3122,2428,124
Maharashtra,Solapur,Solapur,Maize,Yellow,01/01/2025,1178,1702,1440,127
Maharashtra,Solapur,Pandharpur,Tomato,Local,01/01/2025,552,1727,1139,230
Maharashtra,Solapur,Pandharpur,Onion,Red,01/01/2025,906,2642,1774,159
Maharashtra,Solapur,Pandharpur,Potato,Local,01/01/2025,741,1630,1185,356
Maharashtra,Solapur,Pandharpur,Wheat,147 Average,01/01/2025,1430,2145,1787,112
Maharashtra,Solapur,Pandharpur,Rice,Common,01/01/2025,1741,3134,2437,55
Maharashtra,Solapur,Pandharpur,Maize,Yellow,01/01/2025,1164,1682,1423,301
Maharashtra,Kolhapur,Kolhapur,Tomato,Local,01/01/2025,565,1767,1166,189
Maharashtra,Kolhapur,Kolhapur,Onion,Red,01/01/2025,839,2447,1643,235
Maharashtra,Kolhapur,Kolhapur,Potato,Local,01/01/2025,692,1522,1107,173
Maharashtra,Kolhapur,Kolhapur,Wheat,147 Average,01/01/2025,1323,1985,1654,63
